
#####################
#### grain 8

#    orientation:
#
#    q = [7.691974e-01, 6.195888e-01, 1.524858e-01, 3.454275e-02]
#
#    R = [[9.511e-01, 1.358e-01, 2.774e-01],
#         [2.421e-01, 2.298e-01, -9.426e-01],
#         [-1.918e-01, 9.637e-01, 1.857e-01]]
#
#    left stretch tensor:
#
#    V = [[9.999e-01, -1.839e-04, -2.010e-04],
#         [-1.839e-04, 1.001e+00, 5.488e-04],
#         [-2.010e-04, 5.488e-04, 9.995e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-9.029e-05, -1.837e-04, -2.010e-04],
#         [-1.837e-04, 1.005e-03, 5.487e-04],
#         [-2.010e-04, 5.487e-04, -5.371e-04]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-1.048e-04, 2.217e-05, 1.745e-05],
#         [2.217e-05, -2.685e-04, -8.392e-04],
#         [1.745e-05, -8.392e-04, 7.505e-04]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[9.512e-01, 1.361e-01, 2.773e-01],
#         [2.421e-01, 2.291e-01, -9.417e-01],
#         [-1.918e-01, 9.641e-01, 1.864e-01]]
#
#    lattice parameters:
#
#    2.95049, 2.95007, 4.68902, 90.0843, 89.998, 120.002
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (0.60018, -0.00334642, -0.290728)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	2983	0	0	1	0	4.2558e+00	1.6675e+02	-9.5847e+01	4.2549e+00	1.6671e+02	-9.5765e+01	8.8344e-04	4.2473e-02	8.2002e-02	5.3245e-02	8.9650e-02	3.7728e-01	9.2768e+02	6.6230e+02	-9.5765e+01
	677	0	-1	1	0	4.2554e+00	-1.7454e+02	-3.8482e+01	4.2583e+00	-1.7452e+02	-3.8286e+01	2.8781e-03	1.5984e-02	1.9598e-01	-2.9573e-01	-3.7232e-02	2.5365e-01	1.0487e+03	6.5601e+02	-3.8286e+01
	5361	0	1	0	0	4.2552e+00	1.6107e+02	-1.5824e+02	4.2544e+00	1.6114e+02	-1.5826e+02	7.6241e-04	7.3036e-02	1.8660e-02	3.4898e-01	1.2688e-01	1.2363e-01	8.9301e+02	6.6900e+02	-1.5826e+02
	3173	0	0	-1	0	4.2558e+00	-1.3250e+01	-1.0022e+02	4.2551e+00	-1.3265e+01	-1.0025e+02	7.2209e-04	1.5299e-02	3.1909e-02	-5.3245e-02	-8.9650e-02	-3.7728e-01	1.0986e+03	1.3864e+03	-1.0025e+02
	872	0	1	-1	0	4.2554e+00	5.4625e+00	-4.2757e+01	4.2558e+00	5.5041e+00	-4.2760e+01	4.4775e-04	4.1613e-02	3.1348e-03	2.9573e-01	3.7232e-02	-2.5365e-01	9.7751e+02	1.3968e+03	-4.2760e+01
	4668	1	0	0	2	4.6377e+00	-1.0940e+02	-1.3914e+02	4.6370e+00	-1.0933e+02	-1.3902e+02	6.7655e-04	6.5383e-02	1.2394e-01	1.1836e-01	-4.0198e-01	7.9560e-02	1.3960e+03	8.8748e+02	-1.3902e+02
	5164	1	0	0	-2	4.6377e+00	7.0600e+01	-1.5304e+02	4.6372e+00	7.0647e+01	-1.5290e+02	5.0421e-04	4.6870e-02	1.4053e-01	-1.1836e-01	4.0198e-01	-7.9560e-02	6.3049e+02	1.1555e+03	-1.5290e+02
	3274	2	0	1	1	4.8503e+00	-1.6553e+02	-1.0258e+02	4.8478e+00	-1.6555e+02	-1.0270e+02	2.4606e-03	1.2535e-02	1.1751e-01	1.1242e-01	-1.1134e-01	4.1706e-01	1.1190e+03	6.1328e+02	-1.0270e+02
	1121	2	-1	1	1	4.8482e+00	-1.4767e+02	-4.8257e+01	4.8483e+00	-1.4766e+02	-4.8304e+01	7.3688e-05	1.3501e-02	4.7431e-02	-2.3655e-01	-2.3822e-01	2.9343e-01	1.2400e+03	6.6800e+02	-4.8304e+01
	5266	2	1	0	1	4.8480e+00	-1.7042e+02	-1.5572e+02	4.8470e+00	-1.7035e+02	-1.5577e+02	9.2517e-04	7.0874e-02	4.8361e-02	4.0815e-01	-7.4108e-02	1.6341e-01	1.0842e+03	6.0309e+02	-1.5577e+02
