
#####################
#### grain 13

#    orientation:
#
#    q = [7.438407e-01, 6.324508e-01, 2.031810e-01, -7.365114e-02]
#
#    R = [[9.066e-01, 3.666e-01, 2.091e-01],
#         [1.474e-01, 1.892e-01, -9.708e-01],
#         [-3.954e-01, 9.110e-01, 1.174e-01]]
#
#    left stretch tensor:
#
#    V = [[9.979e-01, -1.731e-04, -1.581e-04],
#         [-1.731e-04, 9.965e-01, -3.919e-04],
#         [-1.581e-04, -3.919e-04, 9.970e-01]]
#
#    logarithmic strain tensor (log(V) --> sample frame):
#
#    E = [[-2.129e-03, -1.736e-04, -1.585e-04],
#         [-1.736e-04, -3.517e-03, -3.932e-04],
#         [-1.585e-04, -3.932e-04, -2.986e-03]]
#
#    logarithmic strain tensor (log(U) --> crystal frame):
#
#    E = [[-2.180e-03, 9.938e-05, 2.243e-04],
#         [9.938e-05, -3.155e-03, 5.201e-04],
#         [2.243e-04, 5.201e-04, -3.297e-03]]
#
#    F^-T ( hkl --> (Xs, Ys, Zs), reciprocal lattice to sample frame ):
#
#        [[9.085e-01, 3.675e-01, 2.094e-01],
#         [1.480e-01, 1.903e-01, -9.742e-01],
#         [-3.964e-01, 9.138e-01, 1.174e-01]]
#
#    lattice parameters:
#
#    2.94437, 2.94197, 4.67008, 89.9613, 89.9743, 120.016
#
#    COM coordinates (Xs, Ys, Zs):
#    p = (-0.307693, 0.0102187, -0.402477)
#
#    reflection table:
#	spotID	hklID	H 	K 	L 	predTTh 	predEta 	predOme 	measTTh 	measEta 	measOme 	diffTTh 	diffEta 	diffOme 	predQx  	predQy  	predQz 		measX   	measY   	measOme
	980	0	0	-1	0	4.2564e+00	-1.6906e+02	7.0258e+01	4.2550e+00	-1.6906e+02	7.0264e+01	1.3544e-03	3.1461e-04	5.9348e-03	-1.4382e-01	-7.4449e-02	-3.5759e-01	1.0837e+03	6.5567e+02	7.0264e+01
	2181	0	1	-1	0	4.2536e+00	1.7811e+02	1.2913e+02	4.2546e+00	1.7812e+02	1.2925e+02	9.6928e-04	5.1999e-03	1.2291e-01	2.3597e-01	1.2916e-02	-3.1314e-01	1.0009e+03	6.5087e+02	1.2925e+02
	886	0	0	1	0	4.2564e+00	1.0940e+01	6.5923e+01	4.2553e+00	1.0926e+01	6.5766e+01	1.1376e-03	1.4365e-02	1.5668e-01	1.4382e-01	7.4449e-02	3.5759e-01	9.4261e+02	1.3860e+03	6.5766e+01
	2089	0	-1	1	0	4.2536e+00	-1.8881e+00	1.2487e+02	4.2546e+00	-1.8896e+00	1.2475e+02	9.3278e-04	1.4913e-03	1.2403e-01	-2.3597e-01	-1.2916e-02	3.1314e-01	1.0254e+03	1.3944e+03	1.2475e+02
	-999	1	0	0	-2	4.6437e+00	1.0365e+02	3.9034e+01	nan       	nan       	nan       	2.8392e-04	1.0247e-01	7.0057e-01	-8.9383e-02	4.1582e-01	-5.0133e-02	nan       	nan       	nan
	1102	2	0	-1	1	4.8509e+00	-1.4082e+02	7.6528e+01	4.8487e+00	-1.4082e+02	7.6733e+01	2.1885e-03	1.7724e-04	2.0495e-01	-9.9130e-02	-2.8236e-01	-3.3253e-01	1.2810e+03	6.9212e+02	7.6733e+01
	2330	2	1	-1	1	4.8466e+00	-1.5411e+02	1.3695e+02	4.8475e+00	-1.5410e+02	1.3677e+02	8.6846e-04	6.7107e-03	1.7868e-01	2.8066e-01	-1.9499e-01	-2.8807e-01	1.1983e+03	6.4146e+02	1.3677e+02
	902	2	0	-1	-1	4.8467e+00	1.6261e+02	6.6312e+01	4.8465e+00	1.6261e+02	6.6274e+01	1.7707e-04	7.1251e-04	3.8902e-02	-1.8851e-01	1.3346e-01	-3.8266e-01	8.8652e+02	6.1640e+02	6.6274e+01
	2037	2	1	-1	-1	4.8461e+00	1.5036e+02	1.2228e+02	4.8471e+00	1.5036e+02	1.2227e+02	9.4750e-04	3.1781e-03	1.0032e-02	1.9127e-01	2.2082e-01	-3.3820e-01	8.0354e+02	6.5386e+02	1.2227e+02
	795	2	0	1	1	4.8467e+00	-1.7389e+01	6.1234e+01	4.8482e+00	-1.7400e+01	6.1290e+01	1.5776e-03	1.0963e-02	5.5610e-02	1.8851e-01	-1.3346e-01	3.8266e-01	1.1400e+03	1.4255e+03	6.1290e+01
