% Energy (keV)	APS BM flux (ph/s/0.1%bw)
5	1.58E+13
10	1.49E+13
15	1.30E+13
20	1.10E+13
25	9.17E+12
30	7.54E+12
35	6.15E+12
40	4.98E+12
45	4.02E+12
50	3.23E+12
55	2.59E+12
60	2.07E+12
65	1.65E+12
70	1.32E+12
75	1.05E+12
80	8.31E+11
85	6.59E+11
90	5.21E+11
95	4.12E+11
100	3.26E+11
105	2.57E+11
110	2.03E+11
115	1.60E+11
120	1.26E+11
125	9.93E+10
130	7.81E+10
135	6.14E+10
140	4.83E+10
145	3.79E+10
150	2.98E+10
155	2.34E+10
160	1.83E+10
165	1.44E+10
170	1.13E+10
175	8.84E+09
180	6.93E+09
185	5.43E+09
190	4.25E+09
195	3.33E+09
200	2.60E+09
205	2.04E+09
210	1.59E+09
215	1.25E+09
220	9.74E+08
225	7.62E+08
230	5.95E+08
235	4.65E+08
240	3.64E+08
245	2.84E+08
250	2.22E+08
