Orientation: O[row][col]

Sp_ID O[0][0] O[0][1] O[0][2] O[1][0] O[1][1] O[1][2] O[2][0] O[2][1] O[2][2] X Y Z a b c alpha beta gamma Err1 Err2 Err3 MeanRadius Confidence 
5830 -0.050792 0.164408 -0.985084 -0.190611 0.966630 0.171156 0.980351 0.196461 -0.017759 227.795267 -197.427718 36.326821 3.611884 3.614495 3.614295 90.094602 90.018458 89.991342 69.014365 0.134245 0.082139 221.544755 0.916667 
5841 -0.053182 -0.375742 -0.925197 -0.400538 0.856738 -0.324915 0.914736 0.353297 -0.196062 -66.590779 379.558720 17.103298 3.615340 3.616219 3.614917 90.011651 89.986334 89.929908 56.201229 0.031261 0.032828 280.077896 0.916667 
5844 -0.052559 0.425522 -0.903420 -0.915913 -0.381027 -0.126183 -0.397921 0.820822 0.409768 -263.714433 380.799034 7.083774 3.615132 3.616305 3.616701 90.017359 90.021821 90.000608 41.531322 0.026730 0.021603 222.744989 0.916667 
5846 -0.040527 0.013023 0.999094 0.997615 0.056451 0.039731 -0.055882 0.998320 -0.015279 100.291562 354.682855 20.526649 3.613464 3.612104 3.608344 89.943314 90.262723 90.238070 111.835719 0.092603 0.134580 115.528938 0.750000 
5851 -0.040602 0.134499 0.990082 0.418574 0.902049 -0.105375 -0.907275 0.410144 -0.092923 -365.080092 -389.676135 9.856326 3.615491 3.618548 3.613421 89.977768 90.028771 90.001739 58.574518 0.051046 0.040275 124.534606 0.750000 
5852 -0.063364 0.572974 -0.817121 -0.992634 -0.120897 -0.007800 -0.103257 0.810608 0.576414 129.856328 372.690144 58.264274 3.613703 3.609673 3.611772 89.947014 90.181091 89.958365 159.388095 0.056850 0.122425 80.901642 0.750000 
5853 -0.062654 -0.140374 -0.988114 -0.896595 0.442811 -0.006056 0.438398 0.885558 -0.153602 268.229728 -226.808135 -4.729405 3.617337 3.616909 3.618215 89.982192 90.066964 90.012804 29.989337 0.023237 0.016445 92.336226 0.750000 
5860 -0.062547 0.631768 -0.772630 -0.762575 0.469175 0.445370 0.643869 0.617045 0.452424 221.970700 248.420629 14.637806 3.615731 3.614091 3.614333 90.011345 89.999144 89.991457 21.128562 0.023671 0.021603 255.449624 0.916667 
5866 -0.046867 -0.961723 0.269987 0.333608 -0.269835 -0.903269 0.941546 0.047736 0.333485 -228.416278 -332.563257 30.166763 3.614672 3.617749 3.616485 90.051914 90.036408 89.976313 32.456146 0.050807 0.056710 100.233502 0.750000 
5868 -0.035901 -0.947994 -0.316258 0.839527 0.143065 -0.524144 0.542131 -0.284324 0.790730 179.966429 -273.397892 -36.092664 3.620716 3.613292 3.615560 89.971002 90.114817 89.902461 124.017778 0.154851 0.121513 159.330798 0.750000 
